77741508,568880737,568880749,14.82,51.73859,-0.21220,51.73882,-0.21190,5
25789532,102941908,102942364,3.42,51.73961,-0.28812,51.73961,-0.28757,5
25789532,102942364,102941908,3.42,51.73961,-0.28757,51.73961,-0.28812,5
566032903,102963141,102963273,3.32,51.76185,-0.24208,51.76201,-0.24227,5
566032903,102963273,102963141,3.32,51.76201,-0.24227,51.76185,-0.24208,5
25977157,102940211,102940215,5.73,51.74023,-0.31477,51.74046,-0.31450,5
25977157,102940215,102940211,5.73,51.74046,-0.31450,51.74023,-0.31477,5
25782115,568860970,102945972,6.72,51.76885,-0.29284,51.77040,-0.29264,4
25782115,102945972,568860970,6.72,51.77040,-0.29264,51.76885,-0.29284,4
565988005,102963706,102963708,1.06,51.77008,-0.23652,51.77006,-0.23632,4
761894403,837067901,102945868,2.75,51.77041,-0.29752,51.77074,-0.29751,4
761894403,102945868,837067901,2.75,51.77074,-0.29751,51.77041,-0.29752,4
77741592,568880845,568880846,1.42,51.79592,-0.20740,51.79596,-0.20762,5
77741592,568880846,568880845,1.42,51.79596,-0.20762,51.79592,-0.20740,5
25955664,102946016,102946017,1.51,51.78102,-0.30524,51.78116,-0.30533,5
25955664,102946017,102946016,1.51,51.78116,-0.30533,51.78102,-0.30524,5
565982087,634167043,103654042,5.73,51.76217,-0.24037,51.76296,-0.23904,3
841635201,892172185,102972519,3.85,51.78890,-0.14931,51.78808,-0.15046,2
25959764,102963450,102963416,6.41,51.75684,-0.23356,51.75687,-0.23459,5
25959764,102963416,102963450,6.41,51.75687,-0.23459,51.75684,-0.23356,5
780276203,849770934,849770933,3.28,51.80111,-0.19717,51.80114,-0.19743,5
780276203,849770933,849770934,3.28,51.80114,-0.19743,51.80111,-0.19717,5
779696607,849365141,849365143,13.23,51.78978,-0.20699,51.79015,-0.20784,5
779696607,849365143,849365141,13.23,51.79015,-0.20784,51.78978,-0.20699,5
25961324,102960512,102960514,1.91,51.74316,-0.24211,51.74335,-0.24208,5
25961324,102960514,102960512,1.91,51.74335,-0.24208,51.74316,-0.24211,5
25953787,102966053,102966056,11.76,51.79132,-0.19882,51.79229,-0.19931,5
25953787,102966056,102966053,11.76,51.79229,-0.19931,51.79132,-0.19882,5
709504366,102940202,800262259,5.13,51.73812,-0.31392,51.73864,-0.31494,3
709504366,800262259,102940202,5.13,51.73864,-0.31494,51.73812,-0.31392,3
25786661,102942405,102942435,21.55,51.74978,-0.28548,51.75043,-0.28230,5
25786661,102942435,102942405,21.55,51.75043,-0.28230,51.74978,-0.28548,5
774511954,845749877,102963619,2.35,51.76267,-0.23577,51.76276,-0.23612,5
774511954,102963619,845749877,2.35,51.76276,-0.23612,51.76267,-0.23577,5
780321016,849796350,634179295,3.52,51.76110,-0.24548,51.76074,-0.24522,5
25953694,102972011,102972012,6.24,51.79148,-0.18145,51.79208,-0.18118,5
25953694,102972012,102972011,6.24,51.79208,-0.18118,51.79148,-0.18145,5
25956756,102963970,102963971,3.65,51.77327,-0.24121,51.77350,-0.24181,5
25956756,102963971,102963970,3.65,51.77350,-0.24181,51.77327,-0.24121,5
586296613,634179204,658151720,7.25,51.77033,-0.24111,51.77109,-0.24043,5
586296613,658151720,634179204,7.25,51.77109,-0.24043,51.77033,-0.24111,5
25953031,102967948,102967967,8.62,51.79588,-0.19921,51.79665,-0.19810,4
25953031,102967967,102967948,8.62,51.79665,-0.19810,51.79588,-0.19921,4
780276210,849770938,849770937,21.37,51.80303,-0.19606,51.80351,-0.19759,5
780276210,849770937,849770938,21.37,51.80351,-0.19759,51.80303,-0.19606,5
761680368,102964371,836924773,1.99,51.79328,-0.23605,51.79351,-0.23595,4
761680368,836924773,102964371,1.99,51.79351,-0.23595,51.79328,-0.23605,4
77740165,568878624,102941817,5.85,51.74151,-0.29960,51.74171,-0.29876,5
77740165,102941817,568878624,5.85,51.74171,-0.29876,51.74151,-0.29960,5
780271550,102968456,849767698,5.27,51.80102,-0.18661,51.80138,-0.18723,5
780271550,849767698,102968456,5.27,51.80138,-0.18723,51.80102,-0.18661,5
77747737,102960465,102960480,0.44,51.74056,-0.23937,51.74058,-0.23920,2
77747737,102960480,102960465,0.44,51.74058,-0.23920,51.74056,-0.23937,2
565990769,634183483,634183485,0.81,51.80530,-0.19818,51.80533,-0.19830,5
25957180,102965195,102965202,4.76,51.77011,-0.21047,51.77042,-0.20989,5
25957180,102965202,102965195,4.76,51.77042,-0.20989,51.77011,-0.21047,5
25960959,102962189,102962180,8.64,51.74693,-0.22473,51.74699,-0.22579,5
25960959,102962180,102962189,8.64,51.74699,-0.22579,51.74693,-0.22473,5
25953670,102972174,102972175,7.24,51.79153,-0.17508,51.79224,-0.17530,5
25953670,102972175,102972174,7.24,51.79224,-0.17530,51.79153,-0.17508,5
25515335,102941432,102941446,9.04,51.72232,-0.29586,51.72282,-0.29465,5
25515335,102941446,102941432,9.04,51.72282,-0.29465,51.72232,-0.29586,5
25951690,102973056,102972754,4.77,51.80157,-0.17529,51.80201,-0.17556,5
25951690,102972754,102973056,4.77,51.80201,-0.17556,51.80157,-0.17529,5
709504340,800262241,102941758,7.25,51.74904,-0.30674,51.74928,-0.30784,5
709504340,102941758,800262241,7.25,51.74928,-0.30784,51.74904,-0.30674,5
780274476,102962149,849769783,3.18,51.74199,-0.22143,51.74213,-0.22155,5
780274476,849769783,102962149,3.18,51.74213,-0.22155,51.74199,-0.22143,5
25954393,102966259,102966230,10.36,51.78849,-0.19226,51.78912,-0.19357,5
25954393,102966230,102966259,10.36,51.78912,-0.19357,51.78849,-0.19226,5
25959548,102962876,102962877,12.76,51.75845,-0.24754,51.75951,-0.24868,5
25959548,102962877,102962876,12.76,51.75951,-0.24868,51.75845,-0.24754,5
565991212,102941456,634184148,5.70,51.72383,-0.29567,51.72441,-0.29625,4
